id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32984,"City Hall, Stockholm",53396,Chris,,Kungsholmens,59.32779,18.04998,Entire home/apt,,40,24,2016-06-28,0.14,1,299,0,
155220,"Stockholm, new spacoius villa",746396,Madeleine,,Skarpnäcks,59.24615,18.1787,Entire home/apt,995,1,3,2022-07-29,0.13,2,364,0,
164448,Double room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31389,18.06087,Private room,951,2,416,2024-06-16,2.64,2,157,42,
220851,One room in appartement,412283,Fredric,,Kungsholmens,59.33351,18.03693,Private room,450,3,63,2023-09-01,0.41,1,286,1,
238411,Cozy apartment in central Stockholm,1250232,Mia,,Norrmalms,59.33872,18.05131,Entire home/apt,1272,1,111,2016-12-13,0.72,1,69,0,
242188,Single room in central Stockholm with Wi-Fi,784312,Li,,Södermalms,59.31198,18.06076,Private room,814,2,404,2024-06-20,2.68,2,168,29,
273906,Penthouse in central Stockholm,1432722,Rodrigo,,Södermalms,59.30543,18.10771,Entire home/apt,2650,6,4,2017-07-31,0.03,1,183,0,
299154,Cosy apartment central at Sodermalm,1541953,Daniel,,Södermalms,59.31846,18.07042,Entire home/apt,1015,2,646,2024-06-26,4.81,1,245,52,
299863,Playful temple with genuine meetings for big&small,1322033,Anna,,Hägersten-Liljeholmens,59.30318,17.99521,Entire home/apt,621,3,60,2024-04-11,0.40,1,187,9,
301680,one cosy double room for rent,1554143,Anitta,,Älvsjö,59.27635,17.99165,Private room,750,1,37,2024-06-29,0.25,2,365,4,
302496,"Spacious, bright, unique apartment",1557657,Seta,,Norrmalms,59.34685,18.06056,Entire home/apt,4000,5,92,2023-09-24,0.63,1,318,6,
313763,Excellent location in the city center,1533849,Martin P.,,Norrmalms,59.34283,18.0493,Private room,,14,51,2019-09-26,0.35,1,0,0,
368952,Small house,746396,Madeleine,,Skarpnäcks,59.24656,18.17775,Entire home/apt,360,1,19,2022-07-12,0.13,2,148,0,
385701,"Terrace house in Stockholm, Farsta",1930434,Alex,,Farsta,59.25094,18.09676,Entire home/apt,1000,8,8,2022-08-05,0.07,1,7,0,
438129,Bunk bed close by Alvsjo Exhibition,914316,Ea,,Enskede-Årsta-Vantörs,59.26424,18.02277,Private room,350,1,39,2024-06-05,0.27,3,364,9,
442837,Modern room in Stockholm with great communication,2200827,Jo,,Hägersten-Liljeholmens,59.310410933554515,18.02404045094815,Private room,779,3,100,2023-11-18,0.68,1,10,1,
451155,Spacious house in Stockholm,2240860,Malin,,Enskede-Årsta-Vantörs,59.28003,18.05527,Entire home/apt,2200,3,25,2022-07-24,0.18,1,83,0,
475409,CHARMING 1 Bed Room in City Center (share),2356697,Cor,,Södermalms,59.31412,18.08274,Private room,518,3,41,2017-06-29,0.28,1,179,0,
478105,• ARTISTIC PENTHOUSE NEAR CITY CENTER,1756346,Christian,,Hägersten-Liljeholmens,59.30177,17.99189,Entire home/apt,,4,31,2018-11-24,0.23,1,35,0,
514133,City Apartment - 1 bedroom all furnished and fresh,2532579,Mariah,,Norrmalms,59.338074158064856,18.044748149285862,Entire home/apt,1547,1,28,2024-04-15,0.21,1,61,15,
533880,Nice room Erik Dahlbergsgatan,2624450,Jarl,,Östermalms,59.34412,18.08957,Private room,,10,105,2018-08-08,0.72,1,0,0,
536691,Charming flat in Södermalm,2636194,Cecilia,,Södermalms,59.31863,18.05503,Entire home/apt,1136,4,92,2024-04-07,0.63,1,274,8,
539747,"Lovely villa, with cinema, gym and jacuzzi!",2651868,Helena,,Skarpnäcks,59.2783119,18.1181517,Entire home/apt,2700,6,2,2023-08-08,0.18,1,195,2,
556363,Spacious apartment at top location,2735709,Lennard,,Norrmalms,59.34171,18.03712,Entire home/apt,800,12,43,2024-01-15,0.39,1,9,3,
560308,Great 2 bedroom apartment Stockholm,2755002,Checkin,,Bromma,59.33536,17.97669,Entire home/apt,1605,21,14,2023-11-30,0.10,3,197,1,
565912,Savor Sea Views at a Sweet Retreat with Heaving Bookshelves,2782963,Patrik,,Hägersten-Liljeholmens,59.31711,18.00519,Entire home/apt,3651,4,25,2023-07-23,0.19,1,9,3,
568341,Junior 1 bedroom Apartment Stockholm 2,2755002,Checkin,,Kungsholmens,59.33583,18.02983,Entire home/apt,1181,1,44,2024-06-09,0.41,3,51,18,
581243,Great Room in City Center,2860556,Edwin,,Östermalms,59.33894,18.0919,Private room,,1,732,2024-05-06,5.03,1,0,38,
687247,Luxury apartment - Old Town,3507028,Pontus,,Södermalms,59.32472,18.06776,Entire home/apt,3000,7,31,2024-06-14,0.35,1,21,5,
