city;country;pop2024
Toronto;Canada;2600000
Montreal;Canada;1600000
Calgary;Canada;1019942
Ottawa;Canada;812129
Edmonton;Canada;712391
Mississauga;Canada;668549
North York;Canada;636000
Winnipeg;Canada;632063
Vancouver;Canada;600000
Scarborough;Canada;600000
Quebec;Canada;528595
Hamilton;Canada;519949
Brampton;Canada;433806
Surrey;Canada;394976
Laval;Canada;376845
Halifax;Canada;359111
Etobicoke;Canada;347948
London;Canada;346765
Okanagan;Canada;297601
Victoria;Canada;289625
Windsor;Canada;278013
Markham;Canada;261573
Oshawa;Canada;247989
Gatineau;Canada;242124
Vaughan;Canada;238866
Kitchener;Canada;233700
Longueuil;Canada;229330
Burnaby;Canada;202799
Ladner;Canada;200000
Saskatoon;Canada;198958
Richmond Hill;Canada;185541
Barrie;Canada;182041
Richmond;Canada;182000
Nepean;Canada;180000
Regina;Canada;176183
Oakville;Canada;165697
Burlington;Canada;164415
Greater Sudbury;Canada;157857
Abbotsford;Canada;151683
Saguenay;Canada;143692
St. Catharines;Canada;131989
Sherbrooke;Canada;129447
Anmore;Canada;126456
Levis;Canada;126396
Kelowna;Canada;125109
Cambridge;Canada;120372
Trois-Rivieres;Canada;119693
Guelph;Canada;115760
East York;Canada;115365
Coquitlam;Canada;114565
Kingston;Canada;114195
Sydney;Canada;105968
Delta;Canada;101668
Dartmouth;Canada;101343
Thunder Bay;Canada;99334
St. John's;Canada;99182
Waterloo;Canada;97475
Terrebonne;Canada;94703
Ajax;Canada;90167
Saint John;Canada;87857
Pickering;Canada;87838
Brantford;Canada;87759
Moncton;Canada;87467
Nanaimo;Canada;84905
Milton;Canada;84362
Sarnia;Canada;82998
Niagara Falls;Canada;82000
Willowdale;Canada;79440
Saint-Laurent;Canada;77391
Chilliwack;Canada;77000
Repentigny;Canada;76237
Fort McMurray;Canada;76000
Peterborough;Canada;75877
Sault Ste. Marie;Canada;74948
Newmarket;Canada;74295
La Haute-Saint-Charles;Canada;74070
Red Deer;Canada;73593
Saint-Leonard;Canada;73423
Saint-Jean-sur-Richelieu;Canada;71613
Lethbridge;Canada;70617
Maple Ridge;Canada;70000
Brossard;Canada;69575
Kamloops;Canada;68714
Notre-Dame-de-Grace;Canada;67000
White Rock;Canada;66450
Prince George;Canada;65558
Medicine Hat;Canada;63138
Norfolk County;Canada;60847
Drummondville;Canada;59489
New Westminster;Canada;58549
St. Albert;Canada;57719
Sherwood Park;Canada;55063
Saint-Jerome;Canada;54948
Jonquiere;Canada;54842
Granby;Canada;53979
Fredericton;Canada;52337
Welland;Canada;50331
Saint-Hyacinthe;Canada;50326
North Bay;Canada;50170
Belleville;Canada;49454
Shawinigan;Canada;49161
Dollard-Des Ormeaux;Canada;48930
Cornwall;Canada;48821
North Vancouver;Canada;48000
Vernon;Canada;47274
Blainville;Canada;46493
West End;Canada;44560
Chatham;Canada;43550
Timmins;Canada;42997
Chateauguay;Canada;42786
Quinte West;Canada;42697
West Vancouver;Canada;42694
Charlottetown;Canada;42402
Rimouski;Canada;42240
Saint-Eustache;Canada;42062
Grande Prairie;Canada;41462
Boucherville;Canada;39062
Salaberry-de-Valleyfield;Canada;38662
Penticton;Canada;37721
St. Thomas;Canada;36110
Rock Forest;Canada;35500
Joliette;Canada;34772
Mascouche;Canada;34626
Mirabel;Canada;34626
Prince Albert;Canada;34609
Victoriaville;Canada;34426
Brant;Canada;34415
Woodstock;Canada;33892
Campbell River;Canada;33430
Ancaster;Canada;33232
Courtenay;Canada;32793
Orangeville;Canada;32640
North Cowichan;Canada;32272
Moose Jaw;Canada;32166
Midland;Canada;31502
Cote-Saint-Luc;Canada;31395
Saint-Georges;Canada;31173
Val-d'Or;Canada;31123
Stratford;Canada;30233
Orillia;Canada;30178
Pointe-Claire;Canada;30161
Baie-Comeau;Canada;29808
Alma;Canada;29526
Sainte-Julie;Canada;29019
West Kelowna;Canada;28793
Port Moody;Canada;27512
Lloydminster;Canada;27000
Boisbriand;Canada;26483
Brandon;Canada;26234
Vaudreuil-Dorion;Canada;25789
Thetford-Mines;Canada;25704
Walnut Grove;Canada;25683
Prince Edward;Canada;25496
Sainte-Therese;Canada;25224
Airdrie;Canada;24673
Mount Pearl;Canada;24671
Saint-Bruno-de-Montarville;Canada;24388
Rouyn-Noranda;Canada;24023
Saint-Constant;Canada;23957
Brockville;Canada;23886
Langley;Canada;23606
Whitehorse;Canada;23272
Owen Sound;Canada;22625
Chambly;Canada;22608
Sept-Iles;Canada;22582
Langford;Canada;22459
Duncan;Canada;22199
La Prairie;Canada;21763
Lower Sackville;Canada;21379
Port Alberni;Canada;21282
Keswick;Canada;21000
Varennes;Canada;20950
Clarence-Rockland;Canada;20790
Truro;Canada;20650
Westmount;Canada;20494
Kirkland;Canada;20491
Lindsay;Canada;20354
New Glasgow;Canada;20322
Cole Harbour;Canada;20000
Glace Bay;Canada;19968
Huntsville;Canada;19579
Terrace;Canada;19443
North Battleford;Canada;19440
Beaconsfield;Canada;19194
Mont-Royal;Canada;18933
Beloeil;Canada;18927
Corner Brook;Canada;18693
Cranbrook;Canada;18610
Port Colborne;Canada;18599
Riviere-du-Loup;Canada;18586
Dieppe;Canada;18565
Thorold;Canada;18224
Miramichi;Canada;18129
Cobourg;Canada;18099
Dorval;Canada;18088
Oak Bay;Canada;18015
Amos;Canada;17918
Spruce Grove;Canada;17767
Pitt Meadows;Canada;17410
Deux-Montagnes;Canada;17402
Fort St. John;Canada;17402
Saint-Augustin-de-Desmaures;Canada;17281
Conception Bay South;Canada;17087
Saint-Lazare;Canada;17016
Sainte-Catherine;Canada;16762
L'Assomption;Canada;16738
Edmundston;Canada;16643
L'Ancienne-Lorette;Canada;16516
Cochrane;Canada;16365
Lutes Mountain;Canada;16311
Salmon Arm;Canada;16205
Rayside-Balfour;Canada;16050
Petawawa;Canada;15988
Fort Erie;Canada;15953
Candiac;Canada;15947
Yellowknife;Canada;15865
Collingwood;Canada;15809
